Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;EXS;FCO;GAW;LLE;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;RCO;RGC;RRA;RSD;RSU;TEN;TUC;Shape_Leng
56.45473627000678, -2.9789450120990333;"{""coordinates"": [[-2.971676000000201, 56.45719599999984], [-2.979971500000204, 56.45421399999984], [-2.986326500000189, 56.45264899999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:08003600-0cf7-4230-9a8f-a302af5b7f;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.01536005834
51.416194908584586, -2.4882371621448183;"{""coordinates"": [[-2.483493500000208, 51.41539949999983], [-2.490478000000195, 51.41650799999985], [-2.4929300000002, 51.41721799999985]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:28f628ed-98aa-47a7-9416-65f74d5159;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.00962464199
51.21709670996585, -0.44676323707865806;"{""coordinates"": [[-0.447639000000208, 51.21681599999985], [-0.445907500000203, 51.217370999999844], [-0.44588750000019706, 51.217377499999856]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:c393b76c-6c2c-4288-87f8-5a896a0a95;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.0018393028899990002
50.50582885725463, -3.592201837251125;"{""coordinates"": [[-3.596362000000199, 50.49834799999985], [-3.5950010000001953, 50.49980549999984], [-3.594330500000182, 50.50503099999983], [-3.586399000000199, 50.51242449999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:d8a4bba5-2137-442b-9737-3f581287b2;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.018105576539999002
56.199625009490354, -3.130460780028194;"{""coordinates"": [[-3.130288500000205, 56.200169999999844], [-3.130460500000197, 56.19962599999982], [-3.130633000000187, 56.19907999999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:b5e81944-691b-472b-8a90-a2e32d4e2a;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.0011431449
51.28698018079468, -0.737909197995923;"{""coordinates"": [[-0.732950500000186, 51.27586799999983], [-0.733781500000191, 51.277607499999846], [-0.7353260000001851, 51.28082249999983], [-0.7400160000001961, 51.29200699999984], [-0.7428295000001981, 51.298110999999835]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:e3021d3d-7f2c-47e3-8bbc-cdcfb970c0;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.02434378843
55.02162010451393, -1.5680498924139772;"{""coordinates"": [[-1.576022000000194, 55.02627099999983], [-1.573415000000209, 55.02516799999984], [-1.566228000000194, 55.02085599999983], [-1.5639515000002, 55.01924999999983], [-1.5610195000001852, 55.01573299999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:127ee5e5-3158-4ca7-92d8-61259d202a;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.018576877539999002
54.96723853734475, -1.601486644148165;"{""coordinates"": [[-1.59997850000019, 54.967373999999836], [-1.601810000000199, 54.96728999999985], [-1.6029575000002012, 54.96690399999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:9df6bb6d-4392-4f2c-bed8-37d32b6d8b;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.0030441078299990004
50.72925221751458, -1.909394537216372;"{""coordinates"": [[-1.907414500000186, 50.729903499999836], [-1.909147000000189, 50.72940749999983], [-1.911333500000211, 50.72848449999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:cb92c90b-7126-40de-a1dd-15d9a1c5b4;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;1;45;0.004175435539999
53.21921027360955, -0.923677316988026;"{""coordinates"": [[-0.9456275000001991, 53.21398299999984], [-0.938781000000205, 53.216102499999835], [-0.91951800000021, 53.219794499999836], [-0.9017425000002111, 53.224561499999844]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:de8d840b-0006-4fc1-8756-84fd2f2cf2;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.045184290409999
